row,col,value
0,0,24.77815572190879
0,1,25.576390959799642
0,2,26.341838499099598
0,3,26.618203808219924
0,4,27.065207794198
0,5,27.395413199230518
0,6,28.024529805812186
0,7,27.876597242231366
0,8,28.739784092079656
0,9,28.46949014265301
0,10,29.557643249412248
0,11,29.36818078440841
0,12,30.118742551206314
0,13,30.67949034561397
0,14,31.08006332289528
0,15,30.968387450044876
0,16,31.46295822515789
0,17,31.862633197129067
0,18,32.4661415847409
0,19,32.209302743491364
0,20,32.46363124877386
0,21,32.64626507755167
0,22,33.631263408722496
0,23,33.528734128938545
0,24,33.40501710898384
0,25,34.35859388627604
0,26,33.894235986293
0,27,34.4564739750543
0,28,33.92901870713187
0,29,34.7027412108125
0,30,34.233251699695174
0,31,34.47661652535535
0,32,34.18711843153079
0,33,34.02677940650511
0,34,33.67259963509403
0,35,33.56923991651798
0,36,33.59074735055474
0,37,33.492516583125145
0,38,33.58298461616462
0,39,33.15538445714389
0,40,32.58298583610157
0,41,32.50062100669157
0,42,32.04436547632567
0,43,32.13896347216713
0,44,31.33128129581282
0,45,31.193053221204206
0,46,30.408589690811496
0,47,30.267383771210305
0,48,29.716008014337564
0,49,30.186678365912805
0,50,29.735901999386094
0,51,28.450297308624922
0,52,28.363317537676437
0,53,27.83430285498033
0,54,27.350052860005768
0,55,26.770860218563737
0,56,26.978602454046488
0,57,26.02530740835389
0,58,25.994433823492972
0,59,25.572172463075123
1,0,25.400282520781875
1,1,26.0956244164092
1,2,26.462154059294253
1,3,26.097677861814116
1,4,26.607145930379367
1,5,26.997539500398496
1,6,27.567646363394275
1,7,28.171447109971485
1,8,28.335014982513503
1,9,28.731894053789908
1,10,29.935815781931357
1,11,30.481756934200913
1,12,30.893535836968216
1,13,30.89320804388348
1,14,30.883410432927473
1,15,31.51406874899146
1,16,32.43451121202431
1,17,32.27357872266815
1,18,32.94897527966676
1,19,32.574282280806564
1,20,32.81343585097407
1,21,33.79840408963206
1,22,33.843270379862275
1,23,34.49062513969285
1,24,34.529446593335344
1,25,34.82838374195583
1,26,34.82490802236731
1,27,34.902155450111
1,28,34.428373599716366
1,29,35.30032967782114
1,30,34.88840950561965
1,31,34.572366472635565
1,32,35.19767977440271
1,33,34.86297388013791
1,34,34.700202102973016
1,35,34.92578525707471
1,36,34.45399164074586
1,37,34.26169973437772
1,38,34.18316410849707
1,39,33.06597612600904
1,40,33.337133593472096
1,41,33.0420823255987
1,42,32.47872968347097
1,43,32.21085709002807
1,44,31.560640478616588
1,45,31.467791781721814
1,46,31.668078664734303
1,47,30.513743700756926
1,48,30.22056400493748
1,49,30.302530601728446
1,50,29.594571530905903
1,51,29.11771419824701
1,52,28.99917404546416
1,53,28.289536413436867
1,54,27.523600538474273
1,55,27.225430174427018
1,56,26.67967512724536
1,57,26.089935637034426
1,58,25.89279367039908
1,59,25.906111731915818
2,0,25.883281079990827
2,1,25.687921965081163
2,2,26.770023467789745
2,3,27.274097601148235
2,4,27.191501305646366
2,5,28.158294795978442
2,6,27.737373536678753
2,7,28.691864993374576
2,8,29.3892150281999
2,9,29.075190092553964
2,10,29.900080354016474
2,11,30.434908614779296
2,12,30.682328629772535
2,13,31.386333948555603
2,14,31.42276712895275
2,15,31.59578334288516
2,16,32.12840348633186
2,17,32.54755766722555
2,18,33.51903396833605
2,19,33.820712828108825
2,20,33.601087451749024
2,21,34.13776454554896
2,22,34.70695708421682
2,23,34.37181338129785
2,24,34.29177888300885
2,25,34.783322319331006
2,26,35.094071347036454
2,27,35.23931544300899
2,28,35.54292618065451
2,29,35.72802974494249
2,30,35.629783515876504
2,31,35.32072172709672
2,32,34.95280401889686
2,33,35.286058637151314
2,34,35.13371653583206
2,35,35.37126173202651
2,36,34.909769431160065
2,37,34.98159731212849
2,38,33.9364681434587
2,39,34.39612555174906
2,40,33.99446778026753
2,41,33.86327142746309
2,42,32.95511869293032
2,43,32.57708855577344
2,44,31.882108782846494
2,45,32.33781071881892
2,46,31.85146256234071
2,47,31.3824770623481
2,48,30.280346565074616
2,49,30.3565114373712
2,50,29.825649456645966
2,51,29.75392400892962
2,52,29.19441678525807
2,53,28.789108535567493
2,54,28.09746597009776
2,55,28.156847332704864
2,56,27.180662519718606
2,57,27.16164406844319
2,58,26.188902722872538
2,59,25.73202998504705
3,0,25.8997747041411
3,1,26.219949218793005
3,2,26.592540962162737
3,3,26.60744371156732
3,4,27.05477427499418
3,5,27.82311893637526
3,6,28.768995288937134
3,7,29.27045088148174
3,8,28.855139778980256
3,9,29.55194429709748
3,10,30.040664459588378
3,11,30.756055423446124
3,12,30.724613788795356
3,13,31.017720521121984
3,14,32.255911552185275
3,15,32.34299745068732
3,16,32.20587066463545
3,17,33.4238648147966
3,18,33.435646910529385
3,19,33.99083718071564
3,20,33.59915295948333
3,21,34.84394913142057
3,22,34.37170313223949
3,23,34.91962125439847
3,24,34.90645683271225
3,25,35.00990674283797
3,26,35.332035175170574
3,27,36.18826449851375
3,28,35.884624185374705
3,29,35.74640182252559
3,30,36.41333056024738
3,31,35.472541093477794
3,32,35.489965230568224
3,33,35.31512411080723
3,34,35.42570967785703
3,35,35.49869416245646
3,36,35.54106543987268
3,37,35.11985679327715
3,38,34.35927975973378
3,39,33.96908870659136
3,40,33.88710723028744
3,41,33.881667295528025
3,42,33.52027145157008
3,43,33.09235173407769
3,44,32.720745075691916
3,45,32.65195783741555
3,46,31.5051312178814
3,47,31.299653595124706
3,48,30.97724439971035
3,49,30.493068253376293
3,50,30.543924047728396
3,51,30.00032250675378
3,52,29.62557410785081
3,53,28.71389596017367
3,54,27.940720437397317
3,55,28.4323483139121
3,56,27.9754506453075
3,57,26.89026381767422
3,58,26.514353644220748
3,59,26.431611473083045
4,0,25.801835187941343
4,1,26.602644524149035
4,2,27.1258609761067
4,3,27.65300202107344
4,4,28.18540238578746
4,5,28.24600354052462
4,6,28.558550708722642
4,7,29.39517181561379
4,8,29.65472803088899
4,9,29.930299611432975
4,10,29.9363457698665
4,11,30.68665040120608
4,12,31.614284986648386
4,13,31.6063105765743
4,14,31.68440106716812
4,15,32.083628532707266
4,16,32.70061592799468
4,17,33.863222292797694
4,18,34.241033663440696
4,19,33.93259983539691
4,20,34.82660450084725
4,21,35.00795185255965
4,22,35.559761926112365
4,23,35.02457555403057
4,24,35.524241108406315
4,25,35.80644077613054
4,26,35.58774054711338
4,27,36.11110584958309
4,28,36.687734643737826
4,29,36.687984149912594
4,30,35.94183560351265
4,31,36.310631782675365
4,32,36.68897660907055
4,33,35.91176594108329
4,34,35.8736435651699
4,35,36.171628515936725
4,36,36.1207217079982
4,37,35.281378738463864
4,38,34.62417264364473
4,39,35.21168541896085
4,40,34.4320547331651
4,41,34.51491401004087
4,42,33.65185771478291
4,43,33.25321858535813
4,44,32.53894492415514
4,45,32.32212429950411
4,46,32.07906425199261
4,47,31.580488084226133
4,48,31.01255130818632
4,49,31.08509689553996
4,50,30.846885025194307
4,51,29.849575447991914
4,52,29.64768286273138
4,53,28.64443901343571
4,54,29.00329117650557
4,55,27.834542512517316
4,56,27.703567265595808
4,57,27.686927869896763
