index,time
2900,2007-12-10T12:00:00.000000000
3612,2009-11-21T12:00:00.000000000
2763,2007-07-26T12:00:00.000000000
4725,2012-12-08T12:00:00.000000000
4788,2013-02-09T12:00:00.000000000
4586,2012-07-22T12:00:00.000000000
3237,2008-11-11T12:00:00.000000000
408,2001-02-12T12:00:00.000000000
1729,2004-09-25T12:00:00.000000000
3276,2008-12-20T12:00:00.000000000
2402,2006-07-30T12:00:00.000000000
465,2001-04-10T12:00:00.000000000
4957,2013-07-28T12:00:00.000000000
393,2001-01-28T12:00:00.000000000
1695,2004-08-22T12:00:00.000000000
4406,2012-01-24T12:00:00.000000000
2574,2007-01-18T12:00:00.000000000
3167,2008-09-02T12:00:00.000000000
812,2002-03-23T12:00:00.000000000
805,2002-03-16T12:00:00.000000000
2799,2007-08-31T12:00:00.000000000
4562,2012-06-28T12:00:00.000000000
586,2001-08-09T12:00:00.000000000
5462,2014-12-15T12:00:00.000000000
4147,2011-05-10T12:00:00.000000000
5556,2015-03-19T12:00:00.000000000
2918,2007-12-28T12:00:00.000000000
1144,2003-02-18T12:00:00.000000000
4016,2010-12-30T12:00:00.000000000
4216,2011-07-18T12:00:00.000000000
2471,2006-10-07T12:00:00.000000000
3658,2010-01-06T12:00:00.000000000
2968,2008-02-16T12:00:00.000000000
2582,2007-01-26T12:00:00.000000000
157,2000-06-06T12:00:00.000000000
4437,2012-02-24T12:00:00.000000000
2688,2007-05-12T12:00:00.000000000
3715,2010-03-04T12:00:00.000000000
1074,2002-12-10T12:00:00.000000000
1042,2002-11-08T12:00:00.000000000
5756,2015-10-05T12:00:00.000000000
544,2001-06-28T12:00:00.000000000
3792,2010-05-20T12:00:00.000000000
4309,2011-10-19T12:00:00.000000000
2680,2007-05-04T12:00:00.000000000
3895,2010-08-31T12:00:00.000000000
4595,2012-07-31T12:00:00.000000000
4250,2011-08-21T12:00:00.000000000
5370,2014-09-14T12:00:00.000000000
2526,2006-12-01T12:00:00.000000000
2447,2006-09-13T12:00:00.000000000
4461,2012-03-19T12:00:00.000000000
4480,2012-04-07T12:00:00.000000000
4525,2012-05-22T12:00:00.000000000
2412,2006-08-09T12:00:00.000000000
5067,2013-11-15T12:00:00.000000000
5474,2014-12-27T12:00:00.000000000
2991,2008-03-10T12:00:00.000000000
2755,2007-07-18T12:00:00.000000000
764,2002-02-03T12:00:00.000000000
156,2000-06-05T12:00:00.000000000
3996,2010-12-10T12:00:00.000000000
5797,2015-11-15T12:00:00.000000000
1870,2005-02-13T12:00:00.000000000
4715,2012-11-28T12:00:00.000000000
4252,2011-08-23T12:00:00.000000000
5043,2013-10-22T12:00:00.000000000
1869,2005-02-12T12:00:00.000000000
4945,2013-07-16T12:00:00.000000000
3648,2009-12-27T12:00:00.000000000
3615,2009-11-24T12:00:00.000000000
3240,2008-11-14T12:00:00.000000000
4118,2011-04-11T12:00:00.000000000
2834,2007-10-05T12:00:00.000000000
167,2000-06-16T12:00:00.000000000
4464,2012-03-22T12:00:00.000000000
599,2001-08-22T12:00:00.000000000
2623,2007-03-08T12:00:00.000000000
2702,2007-05-26T12:00:00.000000000
5469,2014-12-22T12:00:00.000000000
755,2002-01-25T12:00:00.000000000
2641,2007-03-26T12:00:00.000000000
4284,2011-09-24T12:00:00.000000000
4486,2012-04-13T12:00:00.000000000
2388,2006-07-16T12:00:00.000000000
4184,2011-06-16T12:00:00.000000000
1471,2004-01-11T12:00:00.000000000
2699,2007-05-23T12:00:00.000000000
2694,2007-05-18T12:00:00.000000000
1344,2003-09-06T12:00:00.000000000
5319,2014-07-25T12:00:00.000000000
5648,2015-06-19T12:00:00.000000000
5190,2014-03-18T12:00:00.000000000
3379,2009-04-02T12:00:00.000000000
101,2000-04-11T12:00:00.000000000
1745,2004-10-11T12:00:00.000000000
5656,2015-06-27T12:00:00.000000000
787,2002-02-26T12:00:00.000000000
233,2000-08-21T12:00:00.000000000
2042,2005-08-04T12:00:00.000000000
296,2000-10-23T12:00:00.000000000
5112,2013-12-30T12:00:00.000000000
3793,2010-05-21T12:00:00.000000000
881,2002-05-31T12:00:00.000000000
4220,2011-07-22T12:00:00.000000000
2098,2005-09-29T12:00:00.000000000
1235,2003-05-20T12:00:00.000000000
1129,2003-02-03T12:00:00.000000000
2276,2006-03-26T12:00:00.000000000
1509,2004-02-18T12:00:00.000000000
3576,2009-10-16T12:00:00.000000000
3133,2008-07-30T12:00:00.000000000
3162,2008-08-28T12:00:00.000000000
5028,2013-10-07T12:00:00.000000000
3126,2008-07-23T12:00:00.000000000
2053,2005-08-15T12:00:00.000000000
4760,2013-01-12T12:00:00.000000000
2318,2006-05-07T12:00:00.000000000
5453,2014-12-06T12:00:00.000000000
1498,2004-02-07T12:00:00.000000000
2611,2007-02-24T12:00:00.000000000
2463,2006-09-29T12:00:00.000000000
5399,2014-10-13T12:00:00.000000000
5238,2014-05-05T12:00:00.000000000
2677,2007-05-01T12:00:00.000000000
5781,2015-10-30T12:00:00.000000000
561,2001-07-15T12:00:00.000000000
893,2002-06-12T12:00:00.000000000
5120,2014-01-07T12:00:00.000000000
1514,2004-02-23T12:00:00.000000000
2842,2007-10-13T12:00:00.000000000
3065,2008-05-23T12:00:00.000000000
4871,2013-05-03T12:00:00.000000000
1330,2003-08-23T12:00:00.000000000
1379,2003-10-11T12:00:00.000000000
2182,2005-12-22T12:00:00.000000000
4259,2011-08-30T12:00:00.000000000
2025,2005-07-18T12:00:00.000000000
1321,2003-08-14T12:00:00.000000000
2664,2007-04-18T12:00:00.000000000
439,2001-03-15T12:00:00.000000000
1456,2003-12-27T12:00:00.000000000
5701,2015-08-11T12:00:00.000000000
5042,2013-10-21T12:00:00.000000000
168,2000-06-17T12:00:00.000000000
576,2001-07-30T12:00:00.000000000
4856,2013-04-18T12:00:00.000000000
996,2002-09-23T12:00:00.000000000
1786,2004-11-21T12:00:00.000000000
2316,2006-05-05T12:00:00.000000000
4819,2013-03-12T12:00:00.000000000
501,2001-05-16T12:00:00.000000000
80,2000-03-21T12:00:00.000000000
2647,2007-04-01T12:00:00.000000000
1973,2005-05-27T12:00:00.000000000
5282,2014-06-18T12:00:00.000000000
4786,2013-02-07T12:00:00.000000000
3751,2010-04-09T12:00:00.000000000
1480,2004-01-20T12:00:00.000000000
4734,2012-12-17T12:00:00.000000000
1971,2005-05-25T12:00:00.000000000
1419,2003-11-20T12:00:00.000000000
1965,2005-05-19T12:00:00.000000000
2913,2007-12-23T12:00:00.000000000
1244,2003-05-29T12:00:00.000000000
2653,2007-04-07T12:00:00.000000000
2815,2007-09-16T12:00:00.000000000
5373,2014-09-17T12:00:00.000000000
2554,2006-12-29T12:00:00.000000000
5264,2014-05-31T12:00:00.000000000
3528,2009-08-29T12:00:00.000000000
2619,2007-03-04T12:00:00.000000000
79,2000-03-20T12:00:00.000000000
3047,2008-05-05T12:00:00.000000000
2422,2006-08-19T12:00:00.000000000
5154,2014-02-10T12:00:00.000000000
2350,2006-06-08T12:00:00.000000000
3471,2009-07-03T12:00:00.000000000
2706,2007-05-30T12:00:00.000000000
4466,2012-03-24T12:00:00.000000000
5411,2014-10-25T12:00:00.000000000
1161,2003-03-07T12:00:00.000000000
5194,2014-03-22T12:00:00.000000000
3575,2009-10-15T12:00:00.000000000
5359,2014-09-03T12:00:00.000000000
2658,2007-04-12T12:00:00.000000000
2131,2005-11-01T12:00:00.000000000
5619,2015-05-21T12:00:00.000000000
3989,2010-12-03T12:00:00.000000000
1773,2004-11-08T12:00:00.000000000
4015,2010-12-29T12:00:00.000000000
23,2000-01-24T12:00:00.000000000
4790,2013-02-11T12:00:00.000000000
3246,2008-11-20T12:00:00.000000000
1535,2004-03-15T12:00:00.000000000
4705,2012-11-18T12:00:00.000000000
14,2000-01-15T12:00:00.000000000
4348,2011-11-27T12:00:00.000000000
373,2001-01-08T12:00:00.000000000
5032,2013-10-11T12:00:00.000000000
2380,2006-07-08T12:00:00.000000000
319,2000-11-15T12:00:00.000000000
5106,2013-12-24T12:00:00.000000000
2457,2006-09-23T12:00:00.000000000
2836,2007-10-07T12:00:00.000000000
5236,2014-05-03T12:00:00.000000000
2615,2007-02-28T12:00:00.000000000
65,2000-03-06T12:00:00.000000000
